SEDE_CODICE,Vi_sono_parcheggi_per_disabili,SEDE_ACCESSIBILE_AI_DISABILI,MUSEO_CODICE,MUSEO_DENOMINAZIONE,MUSEO_TIPOLOGIA,SEDE_DENOMINAZIONE,SEDE_COMUNE,SEDE_PROVINCIA,SEDE_FRAZIONE,SEDE_CAP,SEDE_INDIRIZZO,SEDE_TELEFONO,SEDE_FAX,SEDE_MAIL,SEDE_SITO,SEDE_APERTURA_STATO,SEDE_CHIUSURA_MOTIVO,SEDE_APERTURA_NOTE,SEDE_DESCR_ORARIO_APERTURA,SEDE_ORARI_APERTURA_NOTA,MUSEO_INGRESSO,MUSEO_GIORNO_INGRESSO_GRATUITO,vi_sono_parcheggi_in_zona,ck_biblioteca,ck_aula_attivita_didattiche_ed,ck_sale_studio,ck_archivio,ck_fototeca,ck_sala_conferenze,ck_sala_proiezioni_audio_video,ST_NOTE_3_2_2,ck_biglietteria,ck_guardaroba,ck_area_per_accoglienza,ck_book_shop,ck_caffetteria_ristorante,ck_area_x_prima_infanzia,ST_NOTE_3_2_3,ck_laboratorio_fotografico,ck_laboratorio_di_restauro,ck_laboratorio_preparazione,ck_laboratorio_per_analisi,ST_NOTE_3_2_4,presenza_servizi_igienici,ck_pannelli_sk_mobili,ck_guide_brevi_in_italiano,ck_guide_brevi_in_piu_lingue,ck_catalogo_del_museo,ck_servizio_di_audioguide,ck_proiezione_audiovisivi,ck_sussidi_inform_multimediali,ck_servizio_di_visite_guidate,ck_servizi_speciali_disabili,RA_NOTE_7_9_3,RICONOSCIMENTO_STATO
2762,SI,TOTALMENTE,2589,RACCOLTE ARTISTICHE DEL CASTELLO,ARTE,RACCOLTE D'ARTE APPLICATA,MILANO,MILANO,,20121,Castello Sforzesco,0288463731 - 0288463730/63742,,c.craaiapplicata@comune.milano.it,www.comune.milano.it   -  www.milanocastello.it,APERTA,,,"da martedì a domenica dalle ore 9,00 alle ore 17,30 (orario continuato)
Chiuso: Natale, Capodanno, 1 maggio.",,A PAGAMENTO,VENERDÌ POMERIGGIO,SI,SI,,SI,SI,SI,SI,SI,Sala conferenze e proiezioni in compartecipazione con le Raccolte Grafiche e Fotografiche.,SI,,,SI,,,Book-shop - servizio in concessione,,,,,,SI,SI,SI,,,SI,,,SI,,"Esistono singoli cataloghi della maggior parte delle raccolte (es. Armi Bianche, Armi da Fuoco, Arazzi, Ceramiche, Mobili e intagli lignei, ecc.) e guide a singole sezioni espositive (mobili, vetri artistici, arazzi Trivulzio, porcellane).
Depliant informativo bilingue.",RICONOSCIUTO
2765,SI,NON ACCESSIBILE,2589,RACCOLTE ARTISTICHE DEL CASTELLO,ARTE,GABINETTO NUMISMATICO E MEDAGLIERE,MILANO,MILANO,,20121,Castello Sforzesco,02 88463771,,,www.comune.milano.it   -  www.milanocastello.it,APERTA,,"Solo su appuntamento nei seguenti orari:
8,30-12,30 e dalle 13,30 alle 16,30","solo su appuntamento nei seguenti orari:
8,30-12,30 e 13,30-16,30",,A PAGAMENTO,VENERDÌ POMERIGGIO,SI,SI,,SI,SI,SI,,,"Esiste una biblioteca che raccoglie, divisi per sezioni, i volumi delle Raccolte d'Arte, delle Raccolte d'Arti Applicate e  del Gabinetto Numismatico e Medagliere",,,,,,,,,,,,,SI,,,,,,,,,,Esiste il catalogo delle opere.,RICONOSCIUTO
2764,SI,NON ACCESSIBILE,2589,RACCOLTE ARTISTICHE DEL CASTELLO,ARTE,RACCOLTE EXTRAEUROPEE,MILANO,MILANO,,20121,Castello Sforzesco,02 88463729   e 02 88463744,,c.craaiextraeuropee@comune.milano.it,www.comune.milano.it   -  www.milanocastello.it,APERTA,,,"da martedì a domenica dalle ore 9,00 alle 13,00 e dalle 14,00 alle 17,30

Chiuso: Natale, Capodanno, 1 maggio.",,A PAGAMENTO,VENERDÌ POMERIGGIO,SI,SI,,SI,SI,SI,SI,SI,Sala conferenze e proiezioni in compartecipazione con le Raccolte Grafiche e Fotografiche.,SI,,,SI,,,Book-shop - servizio in concessione,,,,,,SI,SI,SI,,,,,,SI,,Depliant informativi,RICONOSCIUTO
2767,SI,PARZIALMENTE,2588,CIVICHE RACCOLTE GRAFICHE E FOTOGRAFICHE,ARTE,CIVICO GABINETTO DEI DISEGNI,MILANO,MILANO,,20121,Castello Sforzesco,02 88463735,02 88463816,arnalda.dallaj@comune.milano.it,"www.milanocastello.it, www.comune.milano.it/craai/",APERTA,,,"Apertura su appuntamento da lunedì a venerdì: 9.30-12.30 14.30-16.30.
Chiusura sabato, domenica e festività.",,GRATUITO,,SI,SI,,SI,,,SI,,La sala per conferenze e proiezioni è in condivisione con la Civica Raccolta Stampe A. Bertarelli e il Civico Archivio Fotografico.,,,,SI,,,Il servizio book-shop è in concessione ed in condivisione con gli altri Musei del Castello.,,,,,,SI,,SI,,,,,SI,,,,RICONOSCIUTO
2766,SI,PARZIALMENTE,2588,CIVICHE RACCOLTE GRAFICHE E FOTOGRAFICHE,ARTE,CIVICO ARCHIVIO FOTOGRAFICO,MILANO,MILANO,,20121,Castello Sforzesco,02-884.63664/62826,02-884.63811,c.craai.fotografico@comune.milano.it,"www.milanocastello.it, www.comune.milano.it/craai/",APERTA,,,"Da lunedì a venerdì dalle ore 9.00 alle ore 12.30: consultazione materiali su appu.to;
da lun. a ven. dalle 9.00 alle ore 14.00 e giovedì fino alle 16.00: consultazione schede catalografiche cartacee e a computer",,GRATUITO,,SI,SI,,SI,,,SI,,La sala studio è in condivisione con la Raccolta delle Stampe Bertarelli. La sala conferenze e proiezioni è in condivisione con la Bertarelli e con il Gabinetto dei Disegni.,,,,SI,,,Il servizio book-shop è in concessione ed in condivisione con gli altri Musei del Castello.,,,,,La Raccolta è in grado di fornire il servizio di realizzazione di microfilm.,SI,SI,,,,,,SI,,,,RICONOSCIUTO
2277,SI,PARZIALMENTE,2215,MUSEO ARCHEOLOGICO LOMELLINO,ARCHEOLOGIA,MUSEO ARCHEOLOGICO LOMELLINO,GAMBOLO',PAVIA,,27025,Castello Litta -  Piazza Castello,0381 938256/930781,0381/939973,assarcheolom@libero.it,,APERTA,,,"DOMENICA ORE 15.00-18.00 DA SETTEMBRE A GIUGNO
MARTEDI' E GIOVEDI' ORE 8.30-12.00 DA OTTOBRE A MAGGIO
TUTTI GLI ALTRI GIORNI SU PRENOTAZIONE PER GRUPPI, CON I SEGUENTI ORARI: 8.30-12.30 E 14.30-17.00
PERIODO LUGLIO/AGOSTO: APERTURE SERALI CON MANIFESTAZIONI CULTURALI E APERTURA SU PRENOTAZIONE GRUPPI MIN. 4 PERSONE",,A PAGAMENTO,OCCASIONI PARTICOLARI,SI,SI,SI,SI,SI,SI,SI,SI,,SI,,SI,SI,,,,SI,,SI,,,SI,SI,SI,SI,,SI,SI,,SI,,,RICONOSCIUTO
603,SI,TOTALMENTE,463,MUSEO DIDATTICO DELLA RISERVA NATURALE E INCISIONE RUPESTRI  PASPARDO,ARCHEOLOGIA,MUSEO DIDATTICO,CETO,BRESCIA,Nadro,25040,"Via Piana, 29",0364 433465,0364 433465,riservaincisioni.museo@arterupestre.it   oppure consorzioincisionirupestri@arterupestre.it,www.arterupestre.it,APERTA,,,"Primavera-estate-autunno: 9.00-12,30/13,30-17,00
Inverno: idem
Aperto tutti i giorni (inclusi sabato e domenica)
chiuso solo a Natale e Capodanno",,A PAGAMENTO,,SI,SI,SI,,SI,,SI,SI,"Altri spazi:sala per le attività multimediali(n.3 postazioni con maxi schermo per le attività didattiche),  visita virtuale della Riserva regionalee n.2 foresterie con 30 posti letto. Gli spazi di Biblioteca specializzata sono presso il Centro Camuno di Studi Preistorici .Il Museo copre soprattutto l'aspetto divulgativo,informativo e didattico.Dal 2006 è attivo il centro Minitoraggio.",SI,SI,SI,SI,SI,,Foresteria per l'accoglienza gratuita.,,,,,"Dal 2006 è attivo il Centro di Monitoraggio dell'Area in cui convergono dati riferiti alle Collezioni Archeologiche ed altri dati ambientali. I Gruppi di studio che operano (con cenvenzione e no) all'interno della Riserva, devono depositare una copia dei lori studi/ricerche ed i dati 8anche fotografici).",SI,SI,SI,SI,,SI,SI,SI,SI,SI,,RICONOSCIUTO
2276,SI,TOTALMENTE,2214,"MUSEO CIVICO NATURALISTICO ""FERRUCCIO LOMBARDI""",SCIENZA E STORIA NATURALE,CIVICO MUSEO NATURALISTICO,STRADELLA,PAVIA,,27049,"Via Montebello, 2",0385 42069,0382 43590,nadia.manara@comune.stradella.pv.it,www.museistradella.it,APERTA,,,"lunedì 15 -18
martedì 9,00 -12
mercoledì 9,00 - 12
giovedì 9,00 -12
venerdì 15-18
sabato, domenica e festivi 9,00-12   15-18",,A PAGAMENTO,"FAI IL PIENO DI CULTURA, INIZIATIVE MIBAC, CONFERENZE, MOSTRE, ECC",SI,SI,SI,SI,SI,SI,SI,SI,AULE: LOCALE ADIBITO A LABORATORIO DI SCIENZE NATURALI,SI,,SI,SI,,,"Gadgets/shop: Viene effettuata la vendita di: bottiglia di vino con l'etichetta riportante il logo del Museo (progetto CULTURALE ""Vini ... cultura""), catalogo FOTOGRAFICO  ""Il Museo in vetrina"" , Cartoline /5 soggetti diversi dell'esposizione museale",,SI,SI,SI,,SI,SI,SI,,SI,SI,,,SI,,AUDIOGUIDA: è un sistema di sonorizzazione che guida il visitatore con una descrizione dei diversi settori  del percorso tracciato.,RICONOSCIUTO
2275,SI,TOTALMENTE,2213,MUSEO D'ARTE E TRADIZIONE CONTADINA,ETNOGRAFIA E ANTROPOLOGIA,MUSEO DI ARTE E DI TRADIZIONE CONTADINA,OLEVANO DI LOMELLINA,PAVIA,,27020,"Via Uberto de' Olevano, 3",0384 51015 - 0384 51185,0384 51297,museo.artecontadina@olevanolomellina.it,www.olevanolomellina.it,APERTA,,,"- dal Lunedì al venerdì: 9,00 - 12,00
- la domenica: dalle 15,00 alle 18,30
- su appuntamento in qualunque momento",In attesa che venga realizzato l?impianto di riscaldamento il Museo rimarrà chiuso dal mese di novembre al mese di febbraio,GRATUITO,,SI,,SI,,,,SI,SI,"Gli spazi indicati sono utilizzabili presso altri edifici comunali quali: Municipio, Biblioteca Civica (di recene ristrutturazione). Inoltre al piano terreno, in dotazione alla proprietà, esiste uno spazio di mq 150 circa che viene adibito anche a sala conferenze.",,,SI,SI,,,"Una parte del porticato è destinato ad area di accoglienza, mentre il Book-shop è situato al P.1 presso il Banco reception.",,,,,,SI,SI,,,SI,SI,SI,SI,SI,,Nell?ambito del 2° finanziamento per l?allestimento del Museo è stato acquistato il materiale per la realizzazione di una postazione internet per i visitatori ed è stata realizzata una audioguide in multilingua.,RICONOSCIUTO
2274,SI,TOTALMENTE,2212,MUSEO CIVICO DI CASTEGGIO E DELL'OLTREPO' PAVESE,ARCHEOLOGIA,CIVICO MUSEO ARCHEOLOGICO DI CASTEGGIO E DELL'OLTREPO' PAVESE,CASTEGGIO,PAVIA,,27045,VIa Circonvallazione Cantù,0383 83941,0383 890441,info@museocasteggio.it,www.museocasteggio.it,APERTA,,,"Invernale: 
da lunedì a venerdì 08.30-12.30
venerdì e domenica 14.30-17.30
Estivo
da lunedì a venerdì 8.30-14.00
martedì e giovedì 15.00-18.00",Talvolta apertura a richiesta per gruppi.,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,"Sala conferenze/studio/proiezioni disponibili all'interno del palazzo
Laboratorio didattico in apposita sala prima del percorso espositivo",SI,,,,SI,,Bar /auditorium biblioteca con 2 postazioni computer per utenza/spazi per conferenza e meeting.,,,,,Restauro e analisi dei materiali sono a cura della Soprintendenza per i Beni Archeologici della Lombardia.,SI,SI,SI,,,,,,SI,,Speciali didascalie per bambini all'interno del percorso.,RICONOSCIUTO
121,SI,PARZIALMENTE,25,ORTO BOTANICO LORENZO ROTA,ORTO BOTANICO,ORTO BOTANICO DI BERGAMO,BERGAMO,BERGAMO,,24129,"Passaggio Torre di Adalberto, 2",035 2860 60/62,035 270318,ortobotanico@comune.bg.it,www.ortobotanicodibergamo.it,APERTA,,,"MARZO E OTTOBRE: TUTTI I GIORNI 09.00-12.00; 14.00-17.00
DA APRILE A SETTEMBRE: LUN - VEN 09.00-12.00; 14.00 - 18.00; SABATO E FESTIVI 09.00 - 19.00
DA NOVEMBRE A FEBBRAIO - CHIUSO
tra giugno e settembre nell'ambito della manifestazione ""Musei Notti Aperte"" di sabato l'apertura è prolungata alle 24.00.",Lo spazio mostre (Sala Viscontea) osserva orari variabili in funzione dell'evento in corso e degli utilizzi per l'offerta formativa alle scuole.,GRATUITO,,SI,SI,SI,,,,SI,SI,"LA BIBLIOTECA E LA SALA CONFERENZE SONO ACCESSIBILI ATTRAVERSO IL MUSEO DI SCIENZE NATURALI.
LA SALA DEGLI ERBARI E L'ARCHIVIO BIBLIOGRAFICO SONO ACCESSIBILI PER LA CONSULTAZIONE PREVIA RICHIESTA.",,,,,,,,SI,,SI,,"Il laboratorio fotografico non è d'uso esclusivo per queste attività, tranne quando sono attivi i progetti di catalogazione fotografica.",SI,SI,SI,SI,,,,,SI,,COLLEZIONI DA MANIPOLARE.,RICONOSCIUTO
2272,SI,TOTALMENTE,2209,MUSEI CIVICI 'LUIGI BARNI',COMPOSITO,PINACOTECA CIVICA,VIGEVANO,PAVIA,,27029,"Piazza Ducale, 20",0381 693952,0381 312622,direzione_musei@comune.vigevano.pv.it,www.comune.vigevano.pv.it,APERTA,,,Da martedì a domenica dalle 10.00 alle 19.00,l'orario è passibile di modifiche - l'attuale orario si adegua alle mostre in atto presso il castello sforzesco,A PAGAMENTO,,SI,SI,,SI,SI,SI,,,I servizi sopra elencati sono forniti presso l'Archivio Storico Comunale sito in Via Merula 40,SI,,,SI,,,,,,,,,SI,SI,SI,SI,,,SI,,SI,,,RICONOSCIUTO
2614,NO,TOTALMENTE,2364,MUSEO DEL PARCO ALTO GARDA BRESCIANO - CENTRO VISITATORI,TERRITORIALE,MUSEO ARCHEOLOGICO A. MUCCHI,SALO',BRESCIA,,25087,"via Fantoni, 49",0365-296827,,cultura@comune.salo.bs.it,www.comune.salo.bs.it,APERTA,,,"Dal martedì al venerdì dalle 10,00 alle 12,00",prenotazioni presso il Comune di Salò,A PAGAMENTO,"DURANTE PARTICOLARI EVENTI QUALI CONVEGNI, MANIFESTAZIONI CULTURALI",SI,SI,,,,,,,,SI,SI,SI,,,,,,,,,,SI,SI,,SI,SI,,SI,SI,SI,,,RICONOSCIUTO
2613,SI,PARZIALMENTE,2364,MUSEO DEL PARCO ALTO GARDA BRESCIANO - CENTRO VISITATORI,TERRITORIALE,MUSEO BOTANICO DON PIETRO PORTA,VALVESTINO,BRESCIA,Moerna,25080,"via Belvedere, 9",0365-745007,0365-745821,info@consorzioforestalevalvestino.com,,APERTA,,,"Da maggio a settembre aperto sabato dalle 14,30 alle 16,30 e domenica dalle 14,30 alle 17,30",,A PAGAMENTO,"DURANTE PARTICOLARI EVENTI QUALI CONVEGNI, MANIFESTAZIONI CULTURALI",SI,,SI,,,,,SI,,SI,,,,,,,,,,SI,,SI,SI,,,,,SI,SI,SI,,,RICONOSCIUTO
1222,SI,PARZIALMENTE,1041,MUSEO DELLA CHIESA CATTEDRALE,COMPOSITO,MUSEO DELLE PIETRE ROMANICHE DELLA CATTEDRALE,CREMONA,CREMONA,,26020,Piazza  Comune,0372 495032,,beniculturali@diocesidicremona.it,,APERTA,,,Tutto l'anno compreso il lunedì,,A PAGAMENTO,SOLO ECCEZIONALMENTE NELLE GIORNATE DELLA CULTURA,SI,,SI,SI,SI,,SI,SI,"Archivio Diocesano
Sala Conferenze del Palazzo Vescovile",SI,SI,SI,SI,,,,,SI,SI,SI,Il Conservatore è docente di Chimica del Restauro all'Università di Parma,SI,SI,SI,SI,,,,,SI,,Pannelli e guide sono realizzati in lingua inglese,RICONOSCIUTO
2612,SI,NON ACCESSIBILE,2364,MUSEO DEL PARCO ALTO GARDA BRESCIANO - CENTRO VISITATORI,TERRITORIALE,LIMONAIA DEL CASTÈL,LIMONE SUL GARDA,BRESCIA,,25010,Via Orti,0365-954008,0365-954366,comunelimoneut@libero.it,wwww.visitlimonesulgarda.com,APERTA,,,"Da aprile a ottobre dalle ore 10,00 alle ore 18,00
In inverno aperto su prenotazione",,A PAGAMENTO,"DURANTE PARTICOLARI EVENTI QUALI CONVEGNI, MANIFESTAZIONI CULTURALI",SI,,,SI,,,,SI,,SI,,,,,,,,,,,nessun laboratorio,SI,SI,SI,,,,SI,,SI,,,RICONOSCIUTO
2611,SI,NON ACCESSIBILE,2364,MUSEO DEL PARCO ALTO GARDA BRESCIANO - CENTRO VISITATORI,TERRITORIALE,ECOMUSEO LIMONAIA PRA' DELA FAM,TIGNALE,BRESCIA,,25080,località Pra' dela Fam,036571449,036572585,centro.visitatori@parcoaltogarda.eu,www.parcoaltogarda.eu,APERTA,,,"dal 1° aprile al 31 ottobre mercoledì e domenica dalle 10,00 alle 12,00 venerdì dalla 15,00 alle 17,00. Dal 1° novembre al 31 marzo mercoledì dalle 10,00 alle 12,00",,A PAGAMENTO,"DURANTE PARTICOLARI EVENTI QUALI CONVEGNI, MANIFESTAZIONI CULTURALI",SI,,,,,,,,osservatorio con piccola gradinata,,,,,,,,,,,,,NO,SI,SI,SI,,,,,SI,,,RICONOSCIUTO
2610,SI,PARZIALMENTE,2364,MUSEO DEL PARCO ALTO GARDA BRESCIANO - CENTRO VISITATORI,TERRITORIALE,MUSEO ETNOGRAFICO DELLA VALVESTINO,MAGASA,BRESCIA,,25088,Località Cima Rest,0365745007,0365745821,info@consorzioforestalevalvestino.com,www.comune-magasa-bs.it,APERTA,,,"Da maggio a settembre domenica dalle 14,30 alle 17,30
Apertura invernale su prenotazione",,A PAGAMENTO,"DURANTE PARTICOLARI EVENTI QUALI CONVEGNI, MANIFESTAZIONI CULTURALI",SI,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
2608,SI,TOTALMENTE,2524,MUSEO ARCHEOLOGICO DI MONTE BARRO,ARCHEOLOGIA,MUSEO ARCHEOLOGICO DEL BARRO,GALBIATE,LECCO,,23851,Località Eremo di Monte Barro,0341542266,0341240216,info@parcobarro.it,www.parcobarro.lombardia.it,APERTA,,,"martedì: dalle ore 14 alle 18 (dalle 13 alle 17 nel periodo invernale); 
mercoledì: dalle 14 alle 18 (dalle 13 alle 17 nel periodo invernale);
giovedì: dalle ore 9 alle 12 (dalle 13 alle 17 nel periodo invernale);
sabato: dalle ore 9 alle 12  e dalle 14 alle 18 (dalle 13 alle 17 nel periodo invernale); 
domenica: dalle ore 9 alle 12  e dalle 14 alle 18 (dalle 13 alle 17 nel periodo invernale);",Ci sarebbero i presupposti per un'apertura stagionale.,GRATUITO,,SI,SI,SI,SI,,,SI,SI,,,,SI,SI,SI,,,,,,SI,,SI,SI,SI,,,,SI,SI,SI,SI,,RICONOSCIUTO
2622,SI,NON ACCESSIBILE,2518,GALLERIA COMUNALE D?ARTE,ARTE,TORRE VISCONTEA,LECCO,LECCO,,23900,Piazza XX Settembre,0341282396,,musei.arte@comune.lecco.it,WWW.MUSEILECCO.ORG,APERTA,,,"La Torre Viscontea è aperta durante le mostre temporanee dalle ore 14 alle 19 tutti i giorni e dalle ore 9,30-13 e 14- 19 il sabato e la domenica. Chisa il Lunedì",,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,Gli spazi sono in comune con quelli della Galleria Comunale d'Arte di Villa Manzoni,SI,,,,,,,,,,,,SI,,SI,SI,,,,,,,Per ogni mostra viene realizzato il catalogo,RICONOSCIMENTO SOSPESO
2599,SI,TOTALMENTE,2204,SISTEMA MUSEALE DI ATENEO,COMPOSITO,MUSEO DELLA TECNICA ELETTRICA,PAVIA,PAVIA,,27100,via ferrata,0382 984104,0382 984102,info@museotecnica.it,http://www.unipv.it/museotecnica/,APERTA,,,"Lunedì, mercoledì e venerdì dalle 9 alle 12",A partire dal 6/11/2010 i musei del sistema saranno aperti a turno il sabato dalle 9 alle 12.,GRATUITO,,SI,SI,SI,,SI,,SI,,,SI,SI,,SI,,,,,,,,,SI,SI,SI,SI,,,,SI,SI,,,RICONOSCIUTO
2594,SI,TOTALMENTE,363,MUSEO DIOCESANO FRANCESCO GONZAGA,COMPOSITO,MUSEO DIOCESANO FRANCESCO GONZAGA,MANTOVA,MANTOVA,,46100,piazza Virgiliana 53,0376320602,0376224740,,,APERTA,,,"marzo - giugno, settembre, ottobre:
tutti i giorni tranne lunedì, ore 9,30 - 12,00 e 14,30-17,00

luglio e agosto:
giovedì, sabato e domenica, stessi orari

altri mesi:
sabato e domenica, stessi orari",,A PAGAMENTO,,SI,SI,SI,SI,SI,,SI,SI,,SI,,SI,SI,,,,,,,,,SI,SI,SI,SI,,,SI,SI,SI,SI,,RICONOSCIUTO
1783,SI,TOTALMENTE,1682,"MUSEO CIVICO ""GOFFREDO BELLINI""",TERRITORIALE,MUSEO CIVICO 'GOFFREDO BELLINI'- PALAZZO DEL MONTE DEI PEGNI,ASOLA,MANTOVA,,46041,via Garibaldi 7,0376 710171,0376 733046,museocivicoasola@libero.it,,APERTA,,,"da lunedì a venerdì dalle 8.30 alle 13.30
domenica dalle 16.00 alle 18.30",la domenica il Museo è aperto dai volontari grazie alla convenzione appositamente stipulata.,A PAGAMENTO,,SI,SI,SI,,,,,,"Il Comune ha una biblioteca con sezione archeologica e storico-artistica.
Presso il Museo è collocata una piccola biblioteca di materiale specialistico evntualmente consultabile per studio. Deve essere approntato il catalogo delle disponibilità.",SI,SI,,SI,,,,,,,,,SI,SI,SI,SI,SI,,,SI,SI,SI,percorso tattile per ciechi e ipovedenti,RICONOSCIUTO
1244,NO,TOTALMENTE,1063,MUSEO CIVICO,COMPOSITO,MUSEO CIVICO,CASTELLEONE,CREMONA,,26012,"Via Roma, 67",0374 356344,0374 356300,museo@comune.castelleone.cr.it,,APERTA,,Anche durante i lavori di ristrutturazione dell'immobile il museo rimarrà aperto se non per il breve periodo di trasferimento dall'attuale piano terra al primo piano.,Dal lunedì alla domenica dalle 16 alle 18.30,Le visite e i laboratori per le scolaresche o per i gruppi di adulti si effettuano al di fuori dell'orario normale,GRATUITO,,SI,SI,SI,,,,SI,SI,"Sono spazi condivisi con l'Archivio Storico e la Biblioteca che hanno sede nello stesso edificio, la sala conferenze e biblioteca.",,,,,,,,,,,,,SI,SI,,,,,SI,,SI,,Dopo il nuovo allestimento saranno messe a disposizione guide brevi,RICONOSCIUTO
2604,NO,TOTALMENTE,2520,MUSEO STORICO,STORIA,MUSEO STORICO,LECCO,LECCO,,23900,Corso Matteotti 32,0341.481248,0341.369251,musei.scienze@comune.lecco.it,www.museilecco.org,APERTA,,,"dalle ore 9.30 alle 14.00, tuti i giorni tranne il Lunedì.",,GRATUITO,,NO,SI,SI,SI,SI,SI,SI,SI,,SI,,,,,,,,,,,,SI,SI,,,,,,,SI,,,RICONOSCIUTO
2605,NO,TOTALMENTE,2521,MUSEO DI STORIA NATURALE,SCIENZA E STORIA NATURALE,MUSEO DI STORIA NATURALE,LECCO,LECCO,,23900,Corso Matteotti 32,0341.481248,0341.369251,musei.scienze@comune.lecco.it,www.museilecco.org,APERTA,,,"Dalle 9.30 alle 14.00, tutti i giorni tranne il lunedì.","Si effettuano aperture straordinarie la domenica pomeriggio per attività culturali e didattiche particolari (es. : ""Giornata dei nonni"", ""Fai il pieno di Cultura"", ""Settimana dei Beni Culturali"")",GRATUITO,,NO,SI,SI,SI,SI,SI,SI,SI,"Laboratorio Scientifico-didattico.
La Biblioteca Specializzata, la Fototeca e l'Archivio sono unici e centralizzatri nella sede di Villa Manzoni per tutti i musei facenti parte del Si.M.U.L..",SI,,,,,,,,,,SI,"Si tratta del laboratorio scientifico-didattico, che svolge anche analisi chimico-fisiche per il monitoraggio di alcuni parametri ambientali del territorio provinciale, nell'ambito dei programmi CREA.",SI,SI,SI,,,,,SI,SI,,"E' stato realizzato un depliant con ampie spiegazioni dei musei componenti il Si.M.U.L., che è anche in Lingua Inglese.",RICONOSCIUTO
2602,SI,NON ACCESSIBILE,2518,GALLERIA COMUNALE D?ARTE,ARTE,GALLERIA COMUNALE D'ARTE,LECCO,LECCO,,23900,via Guanella 1,0341.481247,0341.369251,barbara.cattaneo@comune.lecco.it,WWW.MUSEILECCO.ORG,APERTA,,,"ore 9, 30 - 17, 30 tutti i giorni, escluso il lunedì, tranne il lunedì di Pasqua.
Il Museo è inoltre chiuso nelle seguenti festività: Natale, Pasqua, 1 maggio, Ferragosto",,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,Gli spazi sono in comune con il Museo Manzoniano.,SI,SI,,SI,,,,,,,,,SI,SI,SI,SI,SI,,,,SI,,,RICONOSCIMENTO SOSPESO
2603,NO,TOTALMENTE,2519,MUSEO ARCHEOLOGICO,ARCHEOLOGIA,MUSEO ARCHEOLOGICO,LECCO,LECCO,,23900,Museo Archeologico,0341.481248,,segreteria.museo@comune.lecco.it,WWW.MUSEILECCO.ORG,APERTA,,,"9,30-14.00 tutti i giorni, escluso il lunedì.",Aperto anche con orari straordinari la domenica pomeriggio in occasione di particolari manifestazioni e iniziative didattiche.,GRATUITO,,SI,SI,SI,,SI,SI,SI,SI,"La Biblioteca è in comune con gli altri Musei del Si.M.U.L., la sala Conferenze è in comune con il Civico Planetario.",SI,SI,SI,SI,,,,,,,,,SI,SI,SI,SI,SI,,SI,,SI,,E' stato realizzato un pieghevole in Lingua Inglese con spiegazione del contenuto di ogni singola sala,RICONOSCIUTO
2062,SI,TOTALMENTE,1982,MUSEO CIVICO ERNESTO  E TERESA DELLA TORRE,COMPOSITO,MUSEO CIVICO ERNESTO E TERESA DELLA TORRE,TREVIGLIO,BERGAMO,,24047,"Vicoli Bicetti Buttinoni, 11",0363 317506,0363 317503,ufficio.cultura@comune.treviglio.bg.it,www.comune.treviglio.bg.it,APERTA,,,"MARTEDI'    15.00 - 17.30
MERCOLEDI'  15.00 - 17.30 
GIOVEDI'    15.00 - 17.30
DOMENICA    15.00 - 17.30",in agosto il museo è aperto solo su richiesta,GRATUITO,,SI,SI,,SI,SI,SI,SI,SI,,SI,SI,,SI,,,,,,,,,SI,SI,SI,,SI,,,,SI,,,RICONOSCIUTO
2601,SI,TOTALMENTE,2517,MUSEO MANZONIANO,SPECIALIZZATO,MUSEO MANZONIANO,LECCO,LECCO,,23900,"Villa Manzoni, Via Guanella 1",0341.481247-9,0341.369251,segreteria.museo@comune.lecco.it,www.museilecco.org,APERTA,,,"Dalle ore 9.30 alle 17.30, tutti i giorni tranne il lunedì.",,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,"La Biblioteca Specializzata, la Fototeca e l'Archivio sono unici per tutti i musei del Sistema e centralizzati nella sede di Villa Manzoni.",SI,SI,,SI,SI,,,,,,,,SI,SI,SI,,,,SI,SI,SI,,,RICONOSCIMENTO SOSPESO
